heading,body
CAG bags Rajbhasha Kirti Puraskar for 'outstanding implementation' of Official Language Policy,"New Delhi [India], September 15 (ANI): The office of the Comptroller and Auditor General of India (CAG) has been conferred 'Rajbhasha Kirti Puraskar ' by the Home Ministry for ""outstanding implementation"" of Official Language Policy."
"PM Modi 73rd Birthday: Prime Minister To Launch 'Vishwakarma' Scheme, 'YashoBhoomi' On Sunday - Details","On the occasion of 'Vishwakarma Jayanti', Prime Minister Narendra Modi will announce a new initiative called ""PM Vishwakarma"" to assist artists, craftsmen, and others involved in traditional skills on Sunday, September 17, news agency PTI reported."
Got Government 'emergency Alert' On Your Mobile Phone? Here Is What It Is,"People across India received an ""Emergency Alert-Severe"" notification on their cell phones on Friday. This was the fourth or fifth time that such a message popped up on people's phones since August as an 'emergency alert: severe message'."
"BSF Arrests 45 People, Mostly Bangladeshis, For Illegally Crossing International Border","Forty-five people, mostly Bangladeshis, were arrested for trying to cross the international border illegally in separate operations in West Bengal, the BSF said."
"Goa CM Pramod Sawant Launches Schemes To Empower Homemakers, Entrepreneurs","Goa CM Pramod Sawant, on Friday, distributed Griha Adhar sanction orders to numerous beneficiaries to support homemakers financially, fostering their independence and improving their quality of life."
Karnataka Govt Makes Reading Preamble To Constitution Mandatory In Schools And Colleges,"On Thursday, the Karnataka Congress administration decided to mandate that all public and private schools and institutions read the preamble to the constitution each day."
Will Extend Date Of Summons To BRS Leader K Kavitha By 10 Days: ED To SC,The Enforcement Directorate (ED) on Friday told the Supreme Court it will extend by 10 days the date of summons issued to BRS leader K Kavitha in connection with the Delhi Excise Policy case.
"Hapur incident: ""Acussed will be suspended,"" says SDG Prashant Kumar as advocates return to work","Lucknow (Uttar Pradesh) [India], September 15 (ANI): After advocates withdrew three days long strike against Police, SDG law and order, Uttar Pradesh , Prashant Kumar on Thursday said that the authorities would suspend the accused police inspector and the FIR filed in this matter will be cancelled."
"""It's a hit list"": BJP launches scathing attack on ""INDI alliance"" for boycotting journalists",The Bhartiya Janta Party (BJP) national spokesperson Sambit Patra on Friday launched a scathing attack against the Opposition bloc - INDIA for announcing a boycott of 14 journalists.
'He Always Treats Me Like His Daughter': Journalist Urfana Muneer On Viral Interview With Farooq Abdullah,"Breaking her silence on the viral interaction with National Conference (NC) leader Farooq Abdullah, journalist Urfana Muneer said that she had an ""amazing conversation"" with the senior politician."
Six-year-old son's emotional farewell to Anantnag encounter martyr Colonel Manpreet Singh | Heart wrenching visuals,Mohali: Hundreds in Mullanpur paid their last respects to Colonel Manpreet Singh who laid down his life during an encounter with terrorists in Anantnag of Jammu and Kashmir on the night of September 12-13. People were seen standing on both sides of the road leading to Colonel Singh’s native place as a convoy of army vehicles carrying Col Singh’s body reached his ancestral village.
PM Modi to dedicate 'YashoBhoomi' in Dwarka to nation on Sept 17,"New Delhi [India], September 15 (ANI): Prime Minister Narendra Modi will dedicate 'YashoBhoomi' to the people of the country in Dwarka on September 17."
INDIA divided: No clarity yet on seat sharing in Bengal,"Kolkata: The INDIA bloc's coordination meet took place on Wednesday and as per reports, it discussed boycott of certain alleged provocative news anchors, the caste census, and seat sharing."
"PM Modi Birthday: Bank Accounts For 30,000 School Girls In Honour Of Prime Minister",No body text found
Jharkhand: Woman dies after drunk husband sets her on fire,"Chatra, Sep 15 (PTI) A drunk man in Jharkhand's Chatra district allegedly set his wife on fire following a tiff, resulting in her death, and also injuring his mother critically, who tried to save her, police said on Friday."
"INDIA bloc parties must decide if they want to be with those who are anti-Sanatan Dharma, says Union Minister Rupala","Indore, Sep 15 (PTI) Union Minister Parshottam Rupala on Friday attacked the opposition bloc INDIA for remarks made against Sanatan Dharma by some leaders of its constituent party DMK."
Bihar boat capsize: Search continues for nine missing,"The search operation to recover the bodies of people, who went missing in the boat capsize in Bagmati river in Bihar's Muzaffarpur district, continued for the second day on Friday."
Excise policy case: SC defers hearing on bail pleas of Sisodia to October 4,The Supreme Court on Friday deferred hearing for October 4 on the bail pleas of AAP leader Manish Sisodia in two Delhi excise policy cases being probed by the CBI and ED.
"In Andhra politics, a confusing love triangle takes shape","In Andhra Pradesh, the BJP is aligned with Pawan Kalyan's Jana Sena Party (JSP). The Telugu Desam Party (TDP) is also aligned with JSP. What about JSP?"
Maharashtra: Thousands throng to celebrate Marbat festival in Nagpur,"Nagpur (Maharashtra) [India], September 15 (ANI): Thousands of people thronged the streets of Maharashtra's Nagpur to celebrate the Marbat festival with religious fervour and zeal on Friday."
"""Meri Maati Mera Desh"" campaign's first phase garners massive public participation","New Delhi [India], September 15 (ANI): The ""Meri Maati Mera Desh"" campaign, a nationwide initiative, has witnessed overwhelming public participation during its first phase, paying tribute to the heroic individuals who sacrificed their lives for the nation."
"""Future of nation, children depends on National Education Policy"": Karnataka ex-CM Bommai","Mangaluru (Karnataka) [India], September 15 (ANI): Karnataka former Chief Minister Basavaraj Bommai on Thursday said that the future of the nation and children depends on the National Education Policy ( NEP )."
Jharkhand woman dies after drunk husband sets her on fire,"Chatra, September 15"
"What Is Scrub Typhus? Know Symptoms, Diagnosis, And Treatment Of The Deadly Disease",Odisha has been hit by a disease called scrub typhus resulting in the death of 6 people. The latest scrub typhus death has been reported from Sundergarh district.
"IAF short of fighter planes, MoD okays 12 more Sukhoi-30 MKI jets",Ajay Banerjee
"'Mother's love alone not enough for child custody', says Bombay HC","In a recent custody case, the Bombay High Court has ruled that deciding what's best for a young child cannot rely solely on the love and care provided by the child's mother."
Jammu & Kashmir: Terror module unearthed in Baramulla; 2 Lashkar-e-Taiba militant associates arrested,Jammu and Kashmir police have unearthed a terror module run by Lashkar-e-Taiba (LeT) in Baramulla district by arresting two militant associates and recovering arms and ammunition from them.
"Assam Police recovers heroin worth Rs 1.6 cr in Mizoram, one held","Aizawl: Personnel of the Assam Rifles have recovered 237 gm of heroin worth Rs 1.65 crore from Zokhawthar area in Champhai district, officials said on Friday."
"Bihar minor, 'raped' by school director's son for two years, recalls horror: 'He filmed entire incident'",She was already scared. The school principal had summoned her over some unpaid dues and told the little girl to follow her. The principal walked right into the library till they reached a door.
Delhi excise policy case: Supreme Court defers hearing on Manish Sisodia's bail plea to October 4,"New Delhi [India], September 15 (ANI): The Supreme Court on Friday adjourned the hearing on the bail plea of Aam Aadmi Party leader Manish Sisodia in a matter connected with liquor policy irregularities."
"Centre grants political clearance to Gopal Rai to travel to NY for Columbia India Energy Dialogue, HC told","New Delhi, Sep 15 (PTI) The Centre Friday told the Delhi High Court it has granted political clearance to Delhi Environment Minister Gopal Rai to travel to New York from September 15 to 21 to attend Columbia India Energy Dialogue."
City court reserves orders on Senthil Balaji's bail plea,"Chennai, Sep 15 (PTI) A sessions court on Friday reserved orders for September 20, on the bail petition filed by DMK Minister Senthil Balaji, who was arrested in connection with a money laundering case by the Enforcement Directorate (ED) in June."
"In letter to Bihar CM, Maliwal urges SIT probe, fast-track court trial in Saharsa rape case",DCW chief Swati Maliwal urged Bihar Chief Minister Nitish Kumar to form an SIT to investigate the rape of a student in school in Saharsa and called for a trial in a fast-track court.
"Anantnag encounter: Son salutes Col. Manpreet Singh, Punjab governor lays wreath as braveheart laid to rest with military honours","Mohali (Punjab) [India], September 15 (ANI): Punjab GovernorBanwarilal Purohit laid a wreath on the mortal remains of Col. Manpreet Singh, who was among two senior Army officers killed in the ongoing gunfight with terrorists in the Anantnag district of Jammu and Kashmir ."
"SC asks HCs, tribunals to inform whether hybrid mode of hearings stopped?","New Delhi [India], September 15 (ANI): The Supreme Court on Friday asked the Registrar Generals of all the High Courts and some Tribunals to file affidavit on whether they are allowing hybrid mode of hearings for court proceedings."
Tamil Nadu: Beneficiaries laud Kalaignar Women's Rights fund scheme launched by CM Stalin,Beneficiaries of the 'Kalaignar Magalir Urimai Thogai Thittam' scheme (Kalaignar Women's rights fund scheme) launched in Tamil Nadu on Friday have expressed their gratitude to chief minister M K Stalin and stated that the scheme will help them become self-reliant.
Preparations underway for Modi's proposed visit to Jolingkong and Adi Kailash viewpoint in Pithoragarh,"Pithoragarh: Preparations have commenced for Prime Minister Narendra Modi's proposed visit to Jolingkong and Adi Kailash viewpoint here next month, officials said on Friday."
'Unpardonable': Yediyurappa alleges secret Cauvery water transfer to Tamil Nadu,Senior Bharatiya Janata Party (BJP) leader and former Karnataka Chief Minister BS Yediyurappa alleged that the Congress government in the state secretly transferred Cauvery water to Tamil Nadu and said it was an unpardonable offence.
"PM Modi greets Netanyahu, people of Israel on Jewish New Year","Prime Minister Narendra Modi on Friday extended greetings to his ""friend"" Israel PM Benjamin Netanyahu and Jewish community around the world on Jewish New Year Rosh Hashanah."
"Woman, son killed in UP' Gonda as dumper truck hits bike","Gonda (UP), Sep 15 (PTI) A woman and her six-year-old son were killed while her husband suffered serious injuries when their motorbike was hit by a dumper truck here on Friday, police said."
"Announcements will be made for Marathwada, but will they be implemented: Aaditya Thackeray","Aurangabad Sep 15 (PTI) The present government in Maharashtra has done nothing for the people except for giving false assurances, said Shiv Sena (UBT) leader Aaditya Thackeray here on Friday."
Last salute: 6-year-old son bids farewell as Col Manpreet Singh is cremated,"Chandigarh, Sep 15 (PTI) ""Jai Hind Papa."" A stoic six-year-old Kabir dressed in Army fatigue saluted his father one last time as Colonel Manpreet Singh, killed in the gunfight with terrorists in Kashmir valley, was cremated at his village in Punjab's Mohali district on Friday."
"Who is Mamman Khan, Congress MLA arrested over Nuh violence?","Haryana Police has arrested Mamman Khan, the Congress MLA from Ferozepur Jhirka constituency, in connection with the communal violence that took place in Nuh district on July 31. The violence left six people dead, including two homegaurds, and a cleric and injured at least 88 others."
"Happiness levels stay steady in September, with no change over previous month: Ipsos IndiaBus Happiness Monitor",New Delhi/Mumbai: The September wave of Ipsos IndiaBus Happiness Monitor shows happiness has stayed steady in September with no change in happiness levels.
"""Unfortunate for J-K"": Mehbooba Mufti on killing of DySP in Anantnag encounter","Srinagar (Jammu and Kashmir) [India], September 15 (ANI): Condemning the death of a young Deputy Superintendent of Police who lost his life in an Anantnag encounter which continued for the third consecutive day on Friday, former Chief Minister of Jammu and Kashmir Mehbooba Mufti said that it was very ""misfortunate"" that youth were losing their lives in such a manner."
"Delhi Gears Up For Indo-Pacific Multilateral Gatherings: IPACC, IPAMS, And SELF","Adding to its Indo-Pacific strategy, India will host several crucial multilateral events. The Indo-Pacific Armies Chiefs Conference (IPACC), Indo-Pacific Armies Management Seminar (IPAMS), and Senior Enlisted Leaders Forum (SELF) will be held at Manekshaw Centre, Delhi Cantt."
'BJP Struggling To Stay In Centre': Shivakumar Confident Of Congress' Win In LS Polls,"Amid the ongoing series of BJP leaders joining Congress party in Karnataka, Deputy Chief Minister DK Shivakumar on Friday expressed his confidence about the grand old party's numbers in the upcoming Lok Sabha and Bruhat Bengaluru Mahanagara Palike (BBMP) polls."
39-year-old Man Tests Positive For Nipah Virus In Kerala,"A 39-year-old man tested positive for the Nipah virus, which was transmitted to him through direct contact with an infected person who died on August 30, State Health Minister Veena George said here on Friday."
Armenia Leads As First Export Customer For India's ATAGS Artillery Guns,"In a significant stride towards bolstering its defense export portfolio, Bharat Forge, led by Chairman and Managing Director Baba Kalyani, has successfully delivered six cutting-edge 155-millimeter Advanced Towed Artillery Gun System (ATAGS) artillery guns to Armenia."
Tamil Nadu: Beneficiaries laud Kalaignar Women's Rights fund scheme launched by CM Stalin,"Chennai (Tamil Nadu) [India], September 15 (ANI): Beneficiaries of the 'Kalaignar Magalir Urimai Thogai Thittam' scheme (Kalaignar Women's rights fund scheme) launched in Tamil Nadu on Friday have expressed their gratitude to chief minister M K Stalin and stated that the scheme will help them become self-reliant."
"J&K: Journalist held for 'criminal conspiracy', 'extortion'","Srinagar, Sep 15 (PTI) A journalist has been arrested here on the charges of criminal conspiracy and extortion, police said on Friday."
Transportation must be dealt with with a holistic approach: President,"Emphasising that the country needs an efficient multi-modal transport system, President Droupadi Murmu on Friday said rail, road, air and water transportation should be dealt with with a holistic approach and not in isolation."
Suspended Delhi govt official accused of rape refuses to provide sample for semen analysis: Report,"Premoday Khakha, a senior Delhi government official who was suspended from service after he was arrested for repeatedly raping a teenager, has refused to provide a sample for a semen analysis, local media reported on Friday (September 15)."
Will attend Eknath Shinde's press confererence on Saturday as journalist if police allow: Sanjay Raut,"Aurangabad: Shiv Sena (UBT) leader Sanjay Raut on Friday said he would attend as a journalist Maharashtra Chief Minister Eknath Shinde's press conference scheduled to be held here on September 16 following a meeting of the state cabinet, if police allow him to remain present there."
UP: HC bar association withdraws strike call,Prayagraj: The High Court Bar Association on Friday decided to withdraw its decision to abstain from work in protest against the alleged lathicharge on lawyers in the Hapur district on August 29.
"India: Three women break glass ceiling, to soon become temple priests in Tamil Nadu","Three young women in the southern Indian state of Tamil Nadu have broken the glass ceiling and will soon become the assistant priests at temples in the state, breaking a long-standing male-only tradition, after duly completing their training to assume priesthood."
"Delhi Shocker: Man Caught On Camera Raping Female Dog, Animal Lover Attacked For Exposing His Bestiality; FIR Filed","In a shocking incident, a middle-aged man was allegedly caught on camera raping a dog in Delhi, followed by an FIR lodged against him under the relevant sections of the IPC. It was learned that the accused identified as Pawan Malhotra served a respectable post at a private welfare organisation until it closed down."
Andhra Court Adjourns Chandrababu Naidu's Bail Petitions To September 19,A local Court in Vijayawada on Friday adjourned the hearing of two bail petitions filed by former Chief Minister of Andhra Pradesh N Chandrababu Naidu to September 19.
Nipah Virus: These States Have Imposed Restrictions to Contain Deadly Infection | Full List Here,"A 39-year-old man from Kerala has been diagnosed with the Nipah virus after coming into direct contact with a person who died from the virus on August 30. This brings the total number of active cases in Kerala to four. The state government has decided to test everyone who is on the high-risk contact list of the infected persons. This includes people who have been in close contact with the infected persons, such as their family members, friends, and healthcare workers."
"UP: Criminal carrying cash reward of Rs 20,000 injured in exchange of fire with cops in Etawah","Lucknow (Uttar Pradesh) [India], September 15 (ANI): A miscreant carrying a cash reward of Rs 20,000 was allegedly shot at and injured in an exchange of fire with the police in the Etawah district of Uttar Pradesh, officials said on Thursday."
"Ind vs Ban Live Streaming: How To Watch IND vs BAN Asia Cup 2023 Match Live On TV, Mobile, Direct Links","India will face Bangladesh in their final match of the Super 4 stage in the 2023 Asia Cup. Having already secured a spot in the Asia Cup Final, India will go head-to-head with Bangladesh on Friday, September 15th, at the R. Premadasa Stadium in Colombo."
"In meeting with Rajnath Singh, Meitei group seeks withdrawal of Assam Rifles from Manipur","Representatives of COCOMI, an umbrella body of Imphal valley-based civil society organisations, met Defence Minister Rajnath Singh and demanded the withdrawal of Assam Rifles from the state, alleging that the force was acting in a biased way."
Telangana: BJP takes out bike rally to commemorate 'Hyderabad Liberation Day',"Hyderabad, Sep 15 (PTI) BJP in Telangana on Friday took out a bike rally from Hyderabad to Parkal in Hanumakonda district to commemorate 'Hyderabad Liberation Day' on September 17, the day the erstwhile princely state of Hyderabad under Nizam rule merged with the Indian Union in 1948."
"In letter to Bihar CM, Maliwal urges SIT probe, fast-track court trial in Saharsa rape case","New Delhi, Sep 15 (PTI) DCW chief Swati Maliwal urged Bihar Chief Minister Nitish Kumar to form an SIT to investigate the rape of a student in school in Saharsa and called for a trial in a fast-track court."
Gujarat: Sand artist depicts PM Modi in sand with Chandrayaan-3 mission,"In a unique celebration of the Prime Minister's upcoming birthday on September 17, a sand artist has created a grand sand art here depicting Narendra Modi with Chandrayaan-3 and the G20 summit logo."
"Best, most creative ideas came from humans, while chatbots more creative than average human: Study","New Delhi: The best, most creative ideas came from humans, said researchers who analysed responses of humans and ChatGPT in a creative task."
"4 Indians sold to mafia in Libya, return home after six months",By Vishu Adhana
Ruckus in Assam Assembly continues for second day over allegations against Himanta Sarma's wife,Chaos broke out in the Assam Assembly for the second consecutive day on Friday as Opposition members continued to demand a discussion on allegations against Chief Minister Himanta Biswa Sarma's wife.
"Chatra News: Jharkhand Man Burns Wife, Mother Alive Over Family Dispute; Probe On To Nab Accused",J
"BJP Takes Dig At Farooq Abdullah Over Viral Video With Female Reporter, Calls Him 'Deeply Misogynistic'",J
"Manipur Govt Approves Compensation Scheme For Women Victims Of Sexual Assault, Other Crimes; Details Inside",J
Kota Students Death: Hostel Wardens To Undergo Professional Training As City Records 24 Suicide Cases This Year,J
"Assam News: Woman Murders Husband After Drugging Him, Abandoned Body To Make It Look Like Accident; Two Arrested",J
Thane News: 45-Year-Old Man Held For Molesting Teenage Girl At Suburban Train Station,J
Gujarat: Sand artist depicts PM Modi in sand with Chandrayaan-3 mission,"Gandhinagar (Gujarat) [India], September 15 (ANI): In a unique celebration of the Prime Minister's upcoming birthday on September 17, a sand art ist has created a grand sand art here depicting Narendra Modi with Chandrayaan-3 and the G20 summit logo."
SC asks all HCs to inform about status of virtual hearings,"New Delhi, Sep 15 (PTI) The Supreme Court on Friday sought the response of all the high courts and some tribunals on whether they have disbanded the hybrid mode of hearing cases, allowing lawyers and litigants to appear in a matter through video-conferencing as well."
Haryana Minister Sandeep Singh Gets Anticipatory Bail In Sexual Harassment Case,Haryana Minister Sandeep Singh on Friday received major relief as a local Chandigarh Court granted him anticipatory bail in connection with a sexual harassment case filed by a junior female coach.
Opposition BJP to boycott Odisha Assembly Speaker's election on Sep 21,"Bhubaneswar: The opposition BJP on Friday decided to boycott the election for the Odisha Assembly Speaker on September 21 as it coincided with the 'Nuakhai' festival, an agrarian event in the western region of the state."
"Gucci, Cartier, And Louis Vuitton Will Add New Outlets In Reliance's Jio World Plaza In Mumbai","The luxury retail landscape in India is poised for a significant transformation as high-end brands such as Gucci, Cartier, and Louis Vuitton plan on establishing new outlets in an upcoming luxury mall in Mumbai, developed by Reliance."
"Exclusive: Tiger Shroff, Sunny Leone, others attended scam-accused's wedding, say sources","The Enforcement Directorate, investigating the Mahadev online betting case, has revealed that several actors and singers from Bollywood were roped in to attend the wedding ceremony of the company promoter, Sourabh Chandrakar."
"PM Modi to launch special scheme for artisans, craftspersons on September 17",Prime Minister Narendra Modi will launch a new Vishwakarma scheme to help artisans and craftsmen and those engaged in traditional skills on the occasion of Vishwakarma Jayanti on September 17.
"Priyanka Gandhi writes to PM Modi, urges him to declare Himachal calamity a national disaster","Congress general secretary Priyanka Gandhi on Friday wrote a letter to Prime Minister Narendra Modi, urging him to declare the natural calamity triggered due to the floods and landslides in Himachal Pradesh as a National Disaster."
India: Congress MLA arrested in connection with violence in Haryana's Nuh to be produced in court today,Congress MLA Mamman Khan was arrested by the Haryana Police on Friday (September 15) in connection with the violence that broke out in Nuh in late July.
Video: Godhra-Bound Dahod-Anand MEMU Train Engine Catches Fire,"The engine of a Godhra-bound train was engulfed in fire on Friday near Dahod, Gujarat. Horrific visuals of the fire surfaced on social media."
"SC extends protection to Editors Guild, 4 members by two weeks in FIRs lodged in Manipur",New Delhi: The Supreme Court on Friday extended by two weeks the protection from coercive action it has granted to four members of the Editors Guild of India (EGI) in connection with two FIRs lodged against them in Manipur for allegedly promoting enmity between different groups.
Tamil Nadu: CM MK Stalin Applauds 'Dravidian Model' As Three Women Set To Become Priests,"Amid the ongoing controversy surrounding Sanatan Dharma, Tamil Nadu Chief Minister MK Stalin has commended the ""Dravidian model"", as three women, Krishnaveni, S Ramya and N Ranjitha, successfully completed their training at the Archakar (priest) Training School affiliated with the Sri Ranganathar temple in Srirangam, Tiruchirappalli, to become priests."
J-K High Court issues notice to administration over house arrest of Mirwaiz Umar Farooq,"Srinagar, Sep 15 (PTI) The Jammu and Kashmir High Court on Friday issued a notice to the union territory administration seeking its response on a petition filed by Hurriyat Conference chairman Mirwaiz Umar Farooq over his house arrest since August 2019."
"Karnataka govt organises mega event of reading Constitution's preamble, millions of people from India, abroad participate","Bengaluru, Sep 15 (PTI) The Karnataka government on Friday organised a mega event of reading the Constitution's preamble as part of the 'International Day of Democracy' celebrations with tens of lakhs of people participating in the programme from India and abroad at the same time."
Arunachal launches Aadhaar-linked birth registration,"Itanagar, Sep 15 (PTI) Arunachal Pradesh became the second state in the Northeast after Nagaland to launch Aadhaar-linked birth registration, officials said on Friday."
SC adjourns hearing on BRS Kavitha plea; Enforcement Directorate defers its summons to her till Sept 26,The Supreme Court on Friday adjourned the hearing on Bharat Rashtra Samithi (BRS) MLC K Kavitha's plea against ED summons till September 26 as the probe agency assured not to assist her appearance before it until the next date of hearing.
'Eris' Covid variant better at escaping immunity than other strains: Lancet study,"New Delhi, Sep 15 (PTI) The EG.5.1 variant of SARS-CoV-2 can escape neutralising antibodies better than other currently circulating strains, giving it an advantage in infecting vaccinated or previously infected people, according to a study published in The Lancet Infectious Diseases journal."
"""Naye Bharat ka naya Uttar Pradesh."": UP CM Yogi Adityanath",Uttar Pradesh Chief Minister Yogi Adityanath on Friday said that 'Naye Bharat ka naya Uttar Pradesh' (new Uttar Pradesh of the new Bharat) has emerged as a growth engine in the country.
"If Congress wants to benefit, it should boycott Rahul Gandhi not journalists: BJP","New Delhi: The BJP on Friday took a swipe at the Congress over the opposition INDIA bloc's decision to boycott 14 broadcast media anchors, saying shunning media or any other institution will do it no good and the party can only benefit by boycotting Rahul Gandhi as he has no strength."
"On FIR against Aaj Tak's Sudhir Chaudhary, Karnataka HC says prima facie case made for probe","The Karnataka High Court orally observed on Friday that there is a prima facie case to go for investigation against Aaj Tak's Consulting Editor Sudhir Chaudhary for spreading misinformation about a commercial vehicle subsidy scheme by the state government, reported Live Law."
India TV opinion poll: Is Hindi popular not only in India but also across the world now?,"Hindi is not only our mother tongue but it is also our national identity. Hindi Diwas is celebrated all over the world every year on September 14. Special events are organised in schools, colleges and educational institutions."
Telangana CM KCR inaugurates nine new govt medical colleges,"Hyderabad: Telangana Chief Minister K Chandrasekhar Rao on Friday virtually inaugurated nine new medical colleges at various locations in the state, as part of the government's stated aim of opening at least one such institution in every district of the state."
"""20 pc poorest bear maximum brunt of price rise on daily basis"": Mallikarjun Kharge","New Delhi [India], September 15 (ANI): Slamming the BJP-led Centre on the issue of inflation, Congress president Mallikarjun Kharge on Friday claimed that on a daily basis, the 20 per cent poorest people of the country bear the maximum brunt of price rise."
No bilateral cricket matches with Pakistan until terrorism ends: Anurag Thakur,"Union Sports Minister Anurag Thakur on Friday said India will not play any bilateral cricket matches with Pakistan, unless the latter stops cross-border terrorism."
Madhya Pradesh Police calls man to identify shoes stolen from temple 7 years ago,An unusual incident happened in Madhya Pradesh's Shivpuri when police called a man to identify a pair of slippers that he reported to have gone missing from outside a temple seven years ago.
"Monu Manesar wanted to join Lawrence Bishnoi network, say police sources","Cow vigilante Monu Manesar, who was arrested on Tuesday by the Haryana Police over the communal clashes in Haryana's Nuh, wanted to join the network of dreaded gangster Lawrence Bishnoi, who operates his network from jail."
Assam: Lord Ganesha's 30-feet tall idol installed in Guwahati ahead of Ganesh Chaturthi,"Guwahati (Assam) [India], September 15 (ANI): With the Ganesh Chaturthi festival around the corner, Assam's Fatasil area in Guwahati is all set to welcome the deity of prosperity by installing a 30-feet tall idol of Lord Ganesha."
Mehbooba Mufti reaches martyr Humayun Bhat's house to shed tears; raises celebration at BJP HQ,"Srinagar: It is the misfortune of Jammu and Kashmir that youngsters here continue to get killed when they should be enjoying and planning their lives, PDP president Mehbooba Mufti said on Friday."
"In meeting with Rajanth, Meitei group seeks withdrawal of Assam Rifles from Manipur","Imphal: Representatives of COCOMI, an umbrella body of Imphal valley-based civil society organisations, met Defence Minister Rajnath Singh and demanded the withdrawal of Assam Rifles from the state, alleging that the force was acting in a biased way."
Court adjourns Naidu's bail petitions to Sep 19 in Skill Development Corporation case,"Vijayawada (Andhra Pradesh), Sep 15 (PTI) A local Court in Vijayawada on Friday adjourned the hearing of two bail petitions filed by TDP chief N Chandrababu Naidu to September 19."
4 workers killed as lift free falls at under-construction society in Greater Noida,"Noida, Sep 15 (PTI) Four workers died Friday after a service lift had a free fall at an under-construction group housing society in Greater Noida West, also known as Noida Extension, police said."
"Sri Sri Ravi Shankar Lauds India's Skill To Navigate Conflicting Forces, Achieve Joint Declaration At G20 Summit","Lauding India's G20 Presidency, spiritual leader Sri Sri Ravi Shankar has said that achieving success on the joint declaration at the summit was a ""herculean task"" and this speaks of Delhi's skill to navigate, manage conflicting forces and arrive at a common vision."
Telangana CM Inaugurates Nine New Govt Medical Colleges,"Telangana Chief Minister K Chandrasekhar Rao on Friday virtually inaugurated nine new government medical colleges across the state. With this, the total number of government medical colleges in the state have gone up to 26 from five in 2014, he said."
"Sena (UBT) MLA Ravindra Waikar, 5 Others Booked For Cheating In Mumbai","The Economic Offences Wing (EOW) of Mumbai police has registered a case against Shiv Sena (UBT) legislator Ravindra Waikar and five others in connection with the construction of a luxury hotel in a western suburb, an official said on Friday."
"Manipur Govt Approves Compensation Scheme For Women Victims Of Sexual Attack, Acid Attack","The Manipur government has approved a compensation scheme for women victims of sexual assault and other crimes, an official order said."
Chandrababu Naidu Files Bail Petitions In Court In Skill Development Corporation Case,"TDP chief N Chandrababu Naidu, who has been remanded to 14 days in judicial custody for his alleged role in a multi-crore Skill Development Corporation scam, has filed two bail petitions, interim and regular, in a local court."
"Howrah man builds 'Bravo', a robot to help teach Autistic children","A resident of Shibpur in Howrah district, has earned the nickname 'Robot Man' for his relentless efforts in building robots with a noble purpose."
Best-selling author and top-rated app owner Saudamini Mishra aka Dhi invents time device for psychological welfare,One has to expect the unexpected from author-inventor Saudamini Mishra aka Dhi when it comes to her innovative and creative abilities channeled towards psychological welfare and general well-being.
"Police, security forces nab two LeT terrorist associates in J-K's Baramulla","Baramulla (Jammu and Kashmir) [India], September 15 (ANI): The Jammu and Kashmir police in a joint operation with the security forces busted a terrorist module and nabbed two terrorist associates linked to the proscribed terror outfit Lashkar-e-Taiba (LeT) in Jammu and Kashmir 's Baramulla , an official statement said on Friday."
Goa govt launches taxi service app to facilitate easy travel for tourists,Panaji: The Goa government on Friday launched a taxi service app through which people can book a cab online to travel anywhere within the coastal state.
Delhi-NCR: IMD predicts heavy rainfall with strong winds; issues 'impact' warning. Check full weather update,"Delhi-NCR residents witnessed moderate rainfall and gusty winds on Friday morning, as predicted by the India Meteorological Department's weather forecast."
Kerala Lottery Result: Nirmal NR 346 Result Announced on 15 September; Details,"The Kerala lottery result for the
Nirmal NR
346 draw is announced today, Friday, 15 September 2023. Participants of the lottery sambad are requested to check the live result on the official website - keralalotteries.com."
Sai Kaustuv Dasgupta From Bengaluru Receives Highest Diversity Leadership Award From Asia Pacific HRM Congress,"On a momentous occasion, Sai Kaustuv Dasgupta, 90% disabled Wheelchair Warrior, Global Motivational Speaker, Happiness Coach, and Diversity & Inclusion Champion, was honored with the prestigious ""DIVERSITY LEADERSHIP AWARD 2023"" The accolade was bestowed upon him at the 22nd Edition of Asia Pacific HRM Congress Award Ceremony, in Taj MG Road, Bengaluru."
Haryana: Man accused of opening fire during Nuh violence arrested,"Nuh violence: Police have arrested a man accused of opening fire and injuring a man during the communal violence in Haryana's Nuh, officials said on Thursday."
MNS protests outside minister's event venue to highlight condition of Mumbai-Goa highway,Mumbai: Maharashtra Navnirman Sena (MNS) on Friday staged a protest outside the venue of an event attended by PWD minister Ravindra Chavan to highlight the condition of the Mumbai-Goa National Highway.
Supreme Court extends protection to Editors Guild's 4 members by 2 weeks in FIRs lodged in Manipur,"New Delhi, September 15"
"Howrah man builds 'Bravo', a robot to help teach Autistic children","Howrah (West Bengal) [India], September 15 (ANI): A resident of Shibpur in Howrah district, has earned the nickname ""Robot Man"" for his relentless efforts in building robots with a noble purpose."
"Encounter on in Anantnag, one soldier missing",Even as Indian defence force's continue their operation in the forest area on the hilly terrain in Jammu and Kashmir's Anantnag district for the third day on Friday to flush out the ultras there are reports that one soldier is missing.
IT sector veteran Gopichand Katragadda to head Institution of Engineering and Technology,"New Delhi, Sep 15 (PTI) IT sector veteran Gopichand Katragadda has been appointed as the president of the Institution of Engineering and Technology (IET), an international professional engineering institution."
